,match,date,tournament,radiant,dire,winner,time,killScore,patch,Radiant Gain,Dire Gain,Radiant ELO,Dire ELO
48,2264224302,04/01/2016,EPICENTER,CDEC,VG,DIRE,25.57,16 - 23,6.86,-68.65,68.65,1172,1174
49,2264101159,04/01/2016,EPICENTER,CDEC,VG,RADIANT,36.43,33 - 12,6.86,42.77,-42.77,1241,1105
50,2263526947,03/31/16,Sudamerican Master 4,Luccini 2,Balrogs,RADIANT,25.8,21-Aug,6.86,34.17,-34.17,1217,1034
51,2263476430,03/31/16,EPICENTER,Shazam,coL 2,DIRE,52.63,29 - 34,6.86,-36.84,36.84,1312,1479
52,2263475988,03/31/16,Sudamerican Master 4,Balrogs,Luccini 2,DIRE,31.37,18 - 30,6.86,-47.19,47.19,1069,1182
53,2263428056,03/31/16,Sudamerican Master 4,Luccini 2,Balrogs,DIRE,44.78,25 - 34,6.86,-71.92,71.92,1135,1116
54,2263423814,03/31/16,EPICENTER,coL 2,Shazam,DIRE,50.88,30 - 32,6.86,-81.40,81.40,1442,1349
55,2263375981,03/31/16,EPICENTER,Shazam,coL 2,DIRE,45.78,26 - 27,6.86,-22.93,22.93,1267,1524
56,2263331572,03/31/16,EPICENTER,coL 2,Shazam,RADIANT,39.63,30-Dec,6.86,29.46,-29.46,1501,1290
57,2263278120,03/31/16,EPICENTER,Shazam,coL 2,RADIANT,27.67,28-Jun,6.86,86.66,-86.66,1319,1471
58,2263271505,03/31/16,DreamLeague Season 5,LC,DiG,DIRE,42.32,25 - 33,6.86,-21.83,21.83,1173,1438
59,2263183248,03/31/16,DreamLeague Season 5,DiG,LC,RADIANT,43.02,20-Aug,6.86,27.77,-27.77,1416,1194
60,2263082502,03/31/16,DreamLeague Season 5,DiG,VP 2,RADIANT,33.57,43 - 15,6.86,54.12,-54.12,1388,1309
61,2262864352,03/31/16,DreamLeague Season 5,VP 2,DiG,DIRE,88.37,43 - 62,6.86,-73.28,73.28,1363,1334
62,2262395818,03/31/16,EPICENTER,LGD.cn,EHOME,RADIANT,23.27,23-Oct,6.86,69.69,-69.69,1322,1328
63,2262288068,03/31/16,ESL One Manilla SEA Qualifiers,Fnatic.MY,WG.Unity,RADIANT,33.07,31 - 20,6.86,10.04,-10.04,1723,1322
64,2262268980,03/31/16,EPICENTER,EHOME,LGD.cn,DIRE,35.47,14 - 34,6.86,-86.11,86.11,1397,1253
65,2262146627,03/31/16,EPICENTER,Nb,VG.R,RADIANT,25.08,30-Sep,6.86,40.54,-40.54,1496,1349
66,2262145370,03/31/16,ESL One Manilla SEA Qualifiers,WG.Unity,Fnatic.MY,DIRE,40.2,16 - 39,6.86,-11.27,11.27,1332,1713
67,2262014253,03/31/16,ESL One Manilla SEA Qualifiers,Fnatic.MY,WG.Unity,RADIANT,42.97,41 - 29,6.86,12.84,-12.84,1702,1343
68,2261999920,03/31/16,EPICENTER,VG.R,Nb,DIRE,54.33,39 - 44,6.86,-56.70,56.70,1389,1456
69,2261910568,03/31/16,EPICENTER,Nb,VG.R,DIRE,25.82,Sep-21,6.86,-60.51,60.51,1399,1446
70,2261289415,03/30/16,Sudamerican Master 4,Infamous 2,G3X,RADIANT,18.9,22-Nov,6.86,23.40,-23.40,1107,854
71,2261252466,03/30/16,Sudamerican Master 4,G3X,Infamous 2,DIRE,28.27,20 - 27,6.86,-30.19,30.19,878,1084
72,2261055900,03/30/16,DreamLeague Season 5,AF  3,VP 2,DIRE,40.03,Jul-35,6.86,-62.88,62.88,1402,1436
73,2260927146,03/30/16,DreamLeague Season 5,VP 2,AF  3,DIRE,63.65,29 - 38,6.86,-51.70,51.70,1373,1465
74,2260829788,03/30/16,DreamLeague Season 5,Empire,TSpirit,RADIANT,17.87,23-May,6.86,63.61,-63.61,1396,1366
75,2260697384,03/30/16,DreamLeague Season 5,TSpirit,Empire,DIRE,44.37,Aug-34,6.86,-81.75,81.75,1430,1333
76,2260529834,03/30/16,WePlay 3 EU Qualifiers,Power Rangers,Empire,RADIANT,22.47,19-Oct,6.86,53.66,-53.66,1333,1251
77,2260362995,03/30/16,ESL One Manilla SEA Qualifiers,Mongolz,Fnatic.MY,DIRE,31.05,15 - 40,6.86,-2.85,2.85,1070,1689
78,2260208514,03/30/16,ESL One Manilla SEA Qualifiers,Mongolz,Fnatic.MY,DIRE,36.42,18 - 19,6.86,-2.95,2.95,1073,1686
79,2260180768,03/30/16,EPICENTER,iG.V,LGD.cn,RADIANT,37.95,15 - 27,6.86,63.44,-63.44,1198,1166
80,2260087176,03/30/16,EPICENTER,iG.V,LGD.cn,DIRE,15.4,Mar-22,6.86,-50.86,50.86,1134,1230
81,2259928277,03/30/16,ESL One Manilla SEA Qualifiers,WG.Unity,NG 2,RADIANT,18.63,20-Apr,6.86,16.92,-16.92,1356,1046
82,2259846085,03/30/16,ESL One Manilla SEA Qualifiers,NG 2,WG.Unity,DIRE,26.38,Jul-19,6.86,-20.49,20.49,1063,1339
83,2259807966,03/30/16,EPICENTER,iG,EHOME,DIRE,27.28,Aug-26,6.86,-11.72,11.72,1109,1483
84,2259753958,03/30/16,EPICENTER,EHOME,iG,RADIANT,13.38,13-Feb,6.86,13.41,-13.41,1472,1121
85,2259146051,03/29/16,EPICENTER,NME,Shazam,DIRE,33.88,Sep-24,6.86,-13.84,13.84,888,1233
86,2259104029,03/29/16,EPICENTER,Shazam,NME,RADIANT,30.45,26-Sep,6.86,16.22,-16.22,1219,901
87,2258834387,03/29/16,DreamLeague Season 5,Empire,Vega,DIRE,42.35,40 - 34,6.86,-45.17,45.17,1305,1429
88,2258765860,03/29/16,DreamLeague Season 5,Vega,Empire,RADIANT,21.9,20-Apr,6.86,62.97,-62.97,1383,1350
89,2258638667,03/29/16,DreamLeague Season 5,VP 2,Empire,RADIANT,15.33,14-Feb,6.86,66.79,-66.79,1425,1413
90,2258594668,03/29/16,EPICENTER,Polarity,Power Rangers,DIRE,26.92,19 - 34,6.86,-16.44,16.44,964,1279
91,2258536592,03/29/16,DreamLeague Season 5,Empire,VP 2,RADIANT,26.73,30-Aug,6.86,45.70,-45.70,1479,1358
92,2258478746,03/29/16,EPICENTER,Polarity,Power Rangers,DIRE,35.25,Sep-21,6.86,-19.82,19.82,980,1263
93,2258236095,03/29/16,SEA KAPPA,TNC,SiG.Tr,DIRE,33.48,19 - 38,6.86,-76.53,76.53,1169,1117
94,2258175352,03/29/16,ESL One Manilla SEA Qualifiers,Fnatic.MY,BI,RADIANT,22.28,22-Nov,6.86,3.11,-3.11,1683,1080
95,2258078880,03/29/16,SEA KAPPA,SiG.Tr,TNC,RADIANT,39.62,34 - 20,6.86,90.21,-90.21,1041,1246
96,2258049161,03/29/16,EPICENTER,CDEC,Nb,DIRE,23.9,13 - 18,6.86,-22.31,22.31,1198,1460
97,2258049059,03/29/16,ESL One Manilla SEA Qualifiers,BI,Fnatic.MY,DIRE,25.38,Aug-18,6.86,-3.23,3.23,1083,1680
98,2257936287,03/29/16,SEA KAPPA,Arcanys,Team G7,RADIANT,27.32,30 - 13,6.86,25.56,-25.56,1097,861
99,2257914125,03/29/16,EPICENTER,Nb,CDEC,RADIANT,40.58,21 - 17,6.86,28.50,-28.50,1437,1221
100,2257844543,03/29/16,ESL One Manilla SEA Qualifiers,NG 2,SiG.Tr,RADIANT,26.32,37 - 15,6.86,43.42,-43.42,1083,950
101,2257771707,03/29/16,ESL One Manilla SEA Qualifiers,NG 2,SiG.Tr,DIRE,20.7,Aug-26,6.86,-75.70,75.70,1040,994
102,2257719869,03/29/16,EPICENTER,VG,VG.R,DIRE,31.98,Oct-22,6.86,-25.42,25.42,1148,1386
103,2257697437,03/29/16,ESL One Manilla SEA Qualifiers,SiG.Tr,NG 2,DIRE,20.88,Jul-18,6.86,-31.59,31.59,918,1116
104,2257589567,03/29/16,EPICENTER,VG.R,VG,RADIANT,36.63,27-Dec,6.86,33.36,-33.36,1360,1173
105,2257046035,03/28/16,EPICENTER,GIRLZ,Shazam,DIRE,36.12,14 - 30,6.86,-31.44,31.44,1004,1203
106,2256983801,03/28/16,EPICENTER,GIRLZ,Shazam,DIRE,44.05,16 - 22,6.86,-42.90,42.90,1036,1171
107,2256937352,03/28/16,EPICENTER,GIRLZ,Shazam,RADIANT,37.5,24 - 14,6.86,76.19,-76.19,1079,1128
108,2256716228,03/28/16,DreamLeague Season 5,Empire,LC,RADIANT,37.67,34 - 15,6.86,29.30,-29.30,1434,1222
109,2256613692,03/28/16,DreamLeague Season 5,LC,Empire,RADIANT,37.53,33 - 22,6.86,86.76,-86.76,1251,1404
110,2256459963,03/28/16,DreamLeague Season 5,VP 2,LC,RADIANT,37.87,38 - 25,6.86,25.24,-25.24,1404,1165
111,2256345387,03/28/16,DreamLeague Season 5,LC,VP 2,DIRE,30.53,Oct-21,6.86,-33.07,33.07,1190,1379
112,2255589769,03/28/16,EPICENTER,MVP Phoenix,Fnatic.MY,DIRE,44.2,16 - 36,6.86,-22.82,22.82,1420,1677
113,2255471845,03/28/16,EPICENTER,Fnatic.MY,MVP Phoenix,RADIANT,35.4,35 - 23,6.86,29.30,-29.30,1654,1442
114,2255357723,03/28/16,EPICENTER,MVP Phoenix,Fnatic.MY,DIRE,42.57,35 - 45,6.86,-39.50,39.50,1472,1625
115,2254080063,03/27/16,EPICENTER,Vega,DiG,DIRE,66.67,37 - 36,6.86,-77.48,77.48,1320,1261
116,2253970195,03/27/16,EPICENTER,DiG,Vega,RADIANT,32.4,20-Aug,6.86,90.72,-90.72,1183,1398
117,2253692419,03/27/16,EPICENTER,TNC,MVP Phoenix,DIRE,23.35,Aug-27,6.86,-35.46,35.46,1336,1511
118,2253561073,03/27/16,EPICENTER,TNC,MVP Phoenix,DIRE,22.72,Dec-30,6.86,-49.18,49.18,1372,1476
119,2253384829,03/27/16,EPICENTER,MVP Phoenix,TNC,DIRE,43.23,22 - 39,6.86,-69.76,69.76,1427,1421
120,2253214448,03/27/16,ESL One Manilla SEA Qualifiers,First Departure,Mongolz,DIRE,31.93,14 - 24,6.86,-40.74,40.74,929,1076
121,2253211683,03/27/16,EPICENTER,Fnatic.MY,MVP Phoenix,RADIANT,28.05,42 - 6,6.86,52.24,-52.24,1585,1496
122,2253075426,03/27/16,ESL One Manilla SEA Qualifiers,Mongolz,First Departure,RADIANT,38.1,32 - 14,6.86,56.99,-56.99,1035,970
123,2253065365,03/27/16,EPICENTER,Fnatic.MY,MVP Phoenix,DIRE,40.03,25 - 52,6.86,-66.21,66.21,1533,1549
124,2252931465,03/27/16,EPICENTER,MVP Phoenix,Fnatic.MY,DIRE,35.75,16 - 39,6.86,-46.60,46.60,1482,1599
125,2251725653,03/26/16,EPICENTER,TSpirit,LC,RADIANT,10.83,20-Feb,6.86,19.16,-19.16,1511,1223
126,2251651308,03/26/16,EPICENTER,LC,TSpirit,DIRE,13.37,Apr-19,6.86,-23.76,23.76,1242,1492
127,2250515361,03/26/16,ESL One Manilla SEA Qualifiers,MVP Phoenix,WG.Unity,DIRE,42.75,29 - 27,6.86,-90.48,90.48,1529,1319
128,2250413651,03/26/16,EPICENTER,Mineski,TNC,DIRE,48.25,36 - 44,6.86,-47.29,47.29,1238,1351
129,2250359420,03/26/16,ESL One Manilla SEA Qualifiers,WG.Unity,MVP Phoenix,RADIANT,37.42,26 - 18,6.86,96.66,-96.66,1228,1619
130,2250311430,03/26/16,EPICENTER,Mineski,TNC,RADIANT,24.55,27-Apr,6.86,71.82,-71.82,1285,1304
131,2250206751,03/26/16,EPICENTER,Mineski,TNC,DIRE,26.18,Jul-21,6.86,-37.73,37.73,1213,1376
132,2248305380,03/25/16,EPICENTER,Rave 2,Mineski,DIRE,32.05,Sep-24,6.86,-34.07,34.07,1068,1251
133,2248196817,03/25/16,EPICENTER,Mineski,Rave 2,RADIANT,25.98,32 - 17,6.86,47.04,-47.04,1217,1102
134,2248008109,03/25/16,EPICENTER,Rave 2,Mineski,RADIANT,51.22,41 - 19,6.86,72.08,-72.08,1149,1170
135,2247744440,03/25/16,EPICENTER,TNC,First Departure,RADIANT,29.78,23 - 18,6.86,16.88,-16.88,1338,1027
136,2247643166,03/25/16,EPICENTER,First Departure,TNC,DIRE,32.53,15 - 22,6.86,-20.45,20.45,1044,1321
137,2247097496,03/24/16,EPICENTER,GIRLZ,Freedom,RADIANT,35.1,28-Nov,6.86,48.15,-48.15,1003,893
138,2247054693,03/24/16,EPICENTER,GIRLZ,Freedom,RADIANT,34.25,39 - 24,6.86,66.67,-66.67,954,942
139,2247016304,03/24/16,EPICENTER,Freedom,GIRLZ,RADIANT,26.87,24 - 19,6.86,45.88,-45.88,1008,888
140,2246848426,03/24/16,DreamLeague Season 5,TSpirit,DiG,DIRE,34.2,May-32,6.86,-96.35,96.35,1468,1093
141,2246762975,03/24/16,DreamLeague Season 5,DiG,TSpirit,DIRE,27.02,Sep-20,6.86,-3.81,3.81,996,1565
